,stim1,prompt1,answer1,trialsthisRepN,trialsthisTrialN,trialsthisIndex,participant,Trials_responsekeys,Trials_responsecorr,Trials_responsert,condition,stimLoc,promptType
69,far_left,Right,left,2.0,15.0,0.0,2189950,left,1.0,1.350999999999999,friz,far,rel
70,far_right,Right,left,3.0,0.0,1.0,2189950,left,1.0,0.9679999999999608,friz,far,rel
71,far_right,Left,right,3.0,1.0,5.0,2189950,right,1.0,0.9669999999999844,friz,far,rel
72,near_left,Away,right,3.0,2.0,14.0,2189950,right,1.0,0.7690000000000055,friz,near,abs
73,near_right,Home,right,3.0,3.0,11.0,2189950,right,1.0,0.8659999999999854,friz,near,abs
74,near_left,Right,right,3.0,4.0,2.0,2189950,right,1.0,0.8340000000000032,friz,near,rel
75,near_right,Left,left,3.0,5.0,7.0,2189950,left,1.0,0.6009999999999991,friz,near,rel
76,far_left,Home,left,3.0,6.0,8.0,2189950,left,1.0,1.0009999999999764,friz,far,abs
77,far_left,Left,right,3.0,7.0,4.0,2189950,right,1.0,0.9500000000000456,friz,far,rel
78,near_left,Left,left,3.0,8.0,6.0,2189950,left,1.0,1.0809999999999604,friz,near,rel
79,near_right,Right,right,3.0,9.0,3.0,2189950,left,0.0,0.6490000000000009,friz,near,rel
80,far_left,Away,right,3.0,10.0,12.0,2189950,right,1.0,0.9159999999999968,friz,far,abs
81,far_right,Home,right,3.0,11.0,9.0,2189950,right,1.0,0.7330000000000041,friz,far,abs
82,far_right,Away,left,3.0,12.0,13.0,2189950,left,1.0,0.7669999999999959,friz,far,abs
83,near_left,Home,left,3.0,13.0,10.0,2189950,left,1.0,0.8340000000000032,friz,near,abs
84,far_left,Right,left,3.0,14.0,0.0,2189950,left,1.0,1.1030000000000086,friz,far,rel
85,near_right,Away,left,3.0,15.0,15.0,2189950,left,1.0,1.2169999999999843,friz,near,abs
22,near_right,Home,right,0.0,0.0,11.0,22363073,right,1.0,0.8340000000000032,friz,near,abs
23,far_left,Away,right,0.0,1.0,12.0,22363073,right,1.0,0.853999999999985,friz,far,abs
24,far_right,Away,left,0.0,2.0,13.0,22363073,left,1.0,0.818000000000012,friz,far,abs
25,far_right,Left,right,0.0,3.0,5.0,22363073,right,1.0,1.4849999999999852,friz,far,rel
26,near_left,Left,left,0.0,4.0,6.0,22363073,left,1.0,1.801000000000016,friz,near,rel
27,far_left,Home,left,0.0,5.0,8.0,22363073,left,1.0,1.1359999999999957,friz,far,abs
28,near_right,Left,left,0.0,6.0,7.0,22363073,left,1.0,1.6740000000000066,friz,near,rel
29,far_left,Right,left,0.0,7.0,0.0,22363073,left,1.0,1.621000000000009,friz,far,rel
30,near_right,Away,left,0.0,8.0,15.0,22363073,left,1.0,1.1009999999999989,friz,near,abs
31,far_right,Right,left,0.0,9.0,1.0,22363073,left,1.0,1.117999999999995,friz,far,rel
32,near_left,Right,right,0.0,10.0,2.0,22363073,right,1.0,1.068000000000012,friz,near,rel
33,far_left,Left,right,0.0,11.0,4.0,22363073,right,1.0,1.4850000000000136,friz,far,rel
34,far_right,Home,right,0.0,12.0,9.0,22363073,right,1.0,0.9170000000000016,friz,far,abs
35,near_right,Right,right,0.0,13.0,3.0,22363073,right,1.0,0.9869999999999948,friz,near,rel
36,near_left,Home,left,0.0,14.0,10.0,22363073,left,1.0,0.8689999999999998,friz,near,abs
37,near_left,Away,right,0.0,15.0,14.0,22363073,right,1.0,1.23599999999999,friz,near,abs
38,near_left,Left,left,1.0,0.0,6.0,22363073,left,1.0,1.1359999999999957,friz,near,rel
39,far_right,Left,right,1.0,1.0,5.0,22363073,right,1.0,1.633999999999986,friz,far,rel
40,near_right,Home,right,1.0,2.0,11.0,22363073,right,1.0,0.97199999999998,friz,near,abs
41,near_right,Away,left,1.0,3.0,15.0,22363073,left,1.0,1.9359999999999784,friz,near,abs
42,far_left,Right,left,1.0,4.0,0.0,22363073,left,1.0,1.5400000000000205,friz,far,rel
43,far_left,Away,right,1.0,5.0,12.0,22363073,right,1.0,0.9029999999999632,friz,far,abs
44,far_right,Away,left,1.0,6.0,13.0,22363073,left,1.0,0.7800000000000296,friz,far,abs
45,far_left,Home,left,1.0,7.0,8.0,22363073,left,1.0,1.1999999999999886,friz,far,abs
46,near_right,Left,left,1.0,8.0,7.0,22363073,left,1.0,1.600999999999999,friz,near,rel
47,near_right,Right,right,1.0,9.0,3.0,22363073,right,1.0,1.0160000000000196,friz,near,rel
48,far_right,Right,left,1.0,10.0,1.0,22363073,left,1.0,0.9559999999999604,friz,far,rel
49,near_left,Away,right,1.0,11.0,14.0,22363073,right,1.0,0.9290000000000304,friz,near,abs
50,near_left,Right,right,1.0,12.0,2.0,22363073,right,1.0,1.0190000000000057,friz,near,rel
51,far_left,Left,right,1.0,13.0,4.0,22363073,right,1.0,0.9519999999999982,friz,far,rel
52,near_left,Home,left,1.0,14.0,10.0,22363073,left,1.0,0.8520000000000323,friz,near,abs
53,far_right,Home,right,1.0,15.0,9.0,22363073,right,1.0,0.9139999999999872,friz,far,abs
54,near_right,Away,left,2.0,0.0,15.0,22363073,left,1.0,0.7169999999999845,friz,near,abs
55,near_left,Left,left,2.0,1.0,6.0,22363073,left,1.0,1.268000000000029,friz,near,rel
56,near_right,Right,right,2.0,2.0,3.0,22363073,right,1.0,0.9350000000000024,friz,near,rel
57,near_left,Away,right,2.0,3.0,14.0,22363073,right,1.0,0.8860000000000241,friz,near,abs
58,far_right,Away,left,2.0,4.0,13.0,22363073,left,1.0,0.8019999999999641,friz,far,abs
59,far_right,Home,right,2.0,5.0,9.0,22363073,right,1.0,0.8180000000000405,friz,far,abs
60,far_left,Right,left,2.0,6.0,0.0,22363073,left,1.0,1.3039999999999736,friz,far,rel
61,far_left,Left,right,2.0,7.0,4.0,22363073,right,1.0,0.8679999999999949,friz,far,rel
62,far_right,Right,left,2.0,8.0,1.0,22363073,left,1.0,0.8690000000000282,friz,far,rel
63,far_left,Away,right,2.0,9.0,12.0,22363073,right,1.0,0.75,friz,far,abs
64,far_right,Left,right,2.0,10.0,5.0,22363073,right,1.0,1.266999999999996,friz,far,rel
65,near_left,Right,right,2.0,11.0,2.0,22363073,right,1.0,1.434000000000026,friz,near,rel
66,near_right,Left,left,2.0,12.0,7.0,22363073,left,1.0,1.0550000000000068,friz,near,rel
67,near_right,Home,right,2.0,13.0,11.0,22363073,right,1.0,1.0880000000000225,friz,near,abs
68,near_left,Home,left,2.0,14.0,10.0,22363073,left,1.0,1.1700000000000157,friz,near,abs
69,far_left,Home,left,2.0,15.0,8.0,22363073,left,1.0,1.3199999999999932,friz,far,abs
70,far_right,Home,right,3.0,0.0,9.0,22363073,right,1.0,0.9519999999999982,friz,far,abs
71,near_right,Left,left,3.0,1.0,7.0,22363073,left,1.0,1.3009999999999875,friz,near,rel
72,near_right,Away,left,3.0,2.0,15.0,22363073,left,1.0,0.8670000000000186,friz,near,abs
73,far_left,Away,right,3.0,3.0,12.0,22363073,right,1.0,0.9199999999999592,friz,far,abs
74,near_left,Right,right,3.0,4.0,2.0,22363073,right,1.0,0.7160000000000082,friz,near,rel
75,far_left,Left,right,3.0,5.0,4.0,22363073,right,1.0,1.0,friz,far,rel
76,near_left,Away,right,3.0,6.0,14.0,22363073,right,1.0,0.9159999999999968,friz,near,abs
77,far_right,Away,left,3.0,7.0,13.0,22363073,left,1.0,0.9209999999999924,friz,far,abs
78,far_right,Left,right,3.0,8.0,5.0,22363073,right,1.0,1.1490000000000011,friz,far,rel
79,far_right,Right,left,3.0,9.0,1.0,22363073,left,1.0,1.002999999999986,friz,far,rel
80,far_left,Right,left,3.0,10.0,0.0,22363073,left,1.0,1.132000000000005,friz,far,rel
81,near_right,Home,right,3.0,11.0,11.0,22363073,right,1.0,1.7400000000000089,friz,near,abs
82,near_left,Home,left,3.0,12.0,10.0,22363073,left,1.0,0.8369999999999891,friz,near,abs
83,near_right,Right,right,3.0,13.0,3.0,22363073,right,1.0,1.7010000000000218,friz,near,rel
84,far_left,Home,left,3.0,14.0,8.0,22363073,left,1.0,0.9669999999999844,friz,far,abs
85,near_left,Left,left,3.0,15.0,6.0,22363073,left,1.0,1.3029999999999973,friz,near,rel
22,far_right,Home,right,0.0,0.0,9.0,24523564,right,1.0,1.6169999999999902,friz,far,abs
23,far_left,Away,right,0.0,1.0,12.0,24523564,right,1.0,1.6320000000000048,friz,far,abs
24,near_right,Home,right,0.0,2.0,11.0,24523564,right,1.0,0.983000000000004,friz,near,abs
