,stim1,prompt1,answer1,trialsthisRepN,trialsthisTrialN,trialsthisIndex,participant,Trials_responsekeys,Trials_responsecorr,Trials_responsert,condition,stimLoc,promptType,leftRight,flipper,newCorrect
23,far_right,Left,right,0.0,1.0,9.0,40119543,right,1.0,2.7630000000000337,Navigation,Far,Relative,Right,nonflipper,1.0
24,far_left,Left,right,0.0,2.0,8.0,40119543,right,1.0,1.5160000000000196,Navigation,Far,Relative,Left,nonflipper,1.0
25,near_left,Away,right,0.0,3.0,6.0,40119543,right,1.0,1.0639999999999643,Navigation,Near,Absolute,Left,nonflipper,1.0
26,near_right,Right,right,0.0,4.0,15.0,40119543,right,1.0,1.085999999999956,Navigation,Near,Relative,Right,nonflipper,1.0
27,near_right,Away,left,0.0,5.0,7.0,40119543,left,1.0,1.1990000000000125,Navigation,Near,Absolute,Right,nonflipper,1.0
28,far_left,Away,right,0.0,6.0,4.0,40119543,right,1.0,1.1639999999999873,Navigation,Far,Absolute,Left,nonflipper,1.0
29,far_left,Right,left,0.0,7.0,12.0,40119543,left,1.0,1.4159999999999968,Navigation,Far,Relative,Left,nonflipper,1.0
30,near_left,Left,left,0.0,8.0,10.0,40119543,left,1.0,1.1829999999999927,Navigation,Near,Relative,Left,nonflipper,1.0
31,far_left,Home,left,0.0,9.0,0.0,40119543,left,1.0,1.2169999999999843,Navigation,Far,Absolute,Left,nonflipper,1.0
32,near_left,Right,right,0.0,10.0,14.0,40119543,right,1.0,1.0690000000000168,Navigation,Near,Relative,Left,nonflipper,1.0
33,far_right,Home,right,0.0,11.0,1.0,40119543,right,1.0,1.0339999999999918,Navigation,Far,Absolute,Right,nonflipper,1.0
34,near_right,Home,right,0.0,12.0,3.0,40119543,right,1.0,0.7489999999999668,Navigation,Near,Absolute,Right,nonflipper,1.0
35,near_right,Left,left,0.0,13.0,11.0,40119543,left,1.0,0.8659999999999854,Navigation,Near,Relative,Right,nonflipper,1.0
36,far_right,Right,left,0.0,14.0,13.0,40119543,left,1.0,1.6170000000000186,Navigation,Far,Relative,Right,nonflipper,1.0
37,near_left,Home,left,0.0,15.0,2.0,40119543,left,1.0,1.1970000000000027,Navigation,Near,Absolute,Left,nonflipper,1.0
38,near_right,Right,right,1.0,0.0,15.0,40119543,right,1.0,0.8640000000000327,Navigation,Near,Relative,Right,nonflipper,1.0
