condition,Frisbee,Frisbee,Frisbee,Frisbee,Navigation,Navigation,Navigation,Navigation,Frisbee_Rel_minus_Abs_Far,Frisbee_Rel_minus_Abs_Near,Frisbee_Rel_minus_Abs,Nav_Rel_minus_Abs_Far,Nav_Rel_minus_Abs_Near,Nav_Rel_minus_Abs
stimLoc,Far,Far,Near,Near,Far,Far,Near,Near,,,,,,
promptType,Absolute,Relative,Absolute,Relative,Absolute,Relative,Absolute,Relative,,,,,,
participant,,,,,,,,,,,,,,
44643324,0.9588124999999987,0.9043749999999964,0.8836875000000042,0.7293750000000028,0.8620624999999968,1.0486875000000015,0.7408125000000059,0.7384374999999963,-0.05443750000000236,-0.1543125000000014,-0.10437500000000188,0.1866250000000047,-0.002375000000009564,0.09212499999999757
49320823,1.2598125000000007,1.206200000000003,1.3083999999999965,0.9489374999999942,1.679400000000004,1.508000000000012,1.1229375000000026,1.079874999999996,-0.05361249999999762,-0.35946250000000224,-0.20653749999999993,-0.171399999999992,-0.043062500000006665,-0.10723124999999933
49541095,1.2678125000000087,0.9498125000000037,0.9928750000000051,1.0289374999999907,1.0488125000000021,1.329125000000003,0.7353750000000048,0.7227499999999996,-0.31800000000000495,0.036062499999985675,-0.14096875000000963,0.28031250000000085,-0.012625000000005215,0.13384374999999782
52817250,1.7146153846153862,1.412687499999997,1.6038333333333317,1.3187500000000014,1.8355000000000046,1.3566249999999922,0.9081250000000018,0.8134374999999903,-0.3019278846153892,-0.28508333333333025,-0.29350560897435973,-0.4788750000000124,-0.09468750000001158,-0.286781250000012
55421948,1.1565624999999962,0.9489374999999978,1.1650000000000027,0.9785000000000057,1.0780000000000136,1.0498749999999966,0.7656250000000036,0.7054999999999936,-0.2076249999999984,-0.186499999999997,-0.1970624999999977,-0.028125000000017053,-0.060125000000009976,-0.044125000000013515
55572456,0.8756875000000015,0.7701874999999987,0.8021874999999987,0.8055624999999935,0.7891874999999935,1.1474375000000094,0.6658125000000084,0.7711874999999893,-0.10550000000000281,0.003374999999994799,-0.05106250000000401,0.35825000000001594,0.1053749999999809,0.23181249999999842
56499208,1.5697333333333348,1.3027500000000067,1.3372666666666722,1.370812500000003,1.1684375000000031,1.2521249999999995,0.9774375000000077,0.8374374999999965,-0.266983333333328,0.03354583333333094,-0.11671874999999854,0.08368749999999636,-0.14000000000001123,-0.028156250000007432
56594642,1.289066666666675,1.2298000000000002,1.1331874999999911,1.313875000000003,1.2177333333333402,1.1152666666666582,0.9304375,0.7446875000000013,-0.059266666666674794,0.18068750000001188,0.06071041666666854,-0.10246666666668203,-0.18574999999999875,-0.1441083333333404
58799837,0.9696874999999938,0.9520625000000003,1.0700000000000038,0.9368749999999988,1.4289333333333445,1.2502499999999976,1.0075000000000003,0.9312499999999968,-0.017624999999993562,-0.13312500000000504,-0.0753749999999993,-0.17868333333334685,-0.07625000000000348,-0.12746666666667517
58839785,1.1522500000000022,0.9271874999999952,1.3329375000000017,1.0476250000000018,1.6332666666666664,1.1146249999999984,1.0766875000000002,0.8414000000000063,-0.22506250000000705,-0.28531249999999986,-0.25518750000000345,-0.518641666666668,-0.235287499999994,-0.376964583333331
60510916,1.596312499999982,1.612937499999994,1.3359375,1.2347500000000018,1.1157999999999921,1.6770000000000007,1.0075624999999988,1.0351250000000043,0.01662500000001188,-0.10118749999999821,-0.042281249999993165,0.5612000000000086,0.027562500000005485,0.29438125000000703
6061126,1.241374999999998,1.1155624999999993,1.0729375,0.9313750000000116,1.3390909090909107,1.271571428571426,0.9716875000000087,0.7917857142857149,-0.12581249999999855,-0.1415624999999885,-0.13368749999999352,-0.06751948051948475,-0.17990178571429383,-0.12371063311688929
61216562,2.0928888888888775,1.9767272727272855,2.0021666666666533,1.9353000000000122,1.3754999999999988,1.91911111111111,1.2541249999999984,1.8358571428571386,-0.11616161616159193,-0.0668666666666411,-0.09151414141411651,0.5436111111111113,0.5817321428571403,0.5626716269841258
61853264,1.0831874999999904,0.916437500000006,1.073625000000007,1.085374999999999,1.3539166666666655,1.1122666666666665,0.8270625000000074,0.838437499999996,-0.1667499999999844,0.011749999999992156,-0.07749999999999613,-0.24164999999999903,0.011374999999988589,-0.11513750000000522
62228828,1.0452499999999958,0.8730000000000011,0.9044999999999952,0.8227500000000134,0.7744375000000332,0.7948749999999762,0.6528750000000088,0.6676874999999995,-0.17224999999999469,-0.08174999999998178,-0.12699999999998823,0.020437499999943043,0.014812499999990791,0.017624999999966917
63506070,0.7609999999999957,0.7656250000000036,0.758375000000008,0.6857499999999952,1.0396874999999994,1.031062499999999,0.7351875000000021,0.5951875000000086,0.004625000000007873,-0.07262500000001282,-0.03400000000000247,-0.008625000000000327,-0.13999999999999346,-0.0743124999999969
63854690,1.1799999999999944,1.141562500000001,1.1573125000000015,1.0021249999999995,1.0238125,1.33225,0.7728125,0.7708125,-0.03843749999999346,-0.15518750000000203,-0.09681249999999775,0.3084374999999999,-0.0020000000000000018,0.15321874999999996
64024983,1.356399999999989,1.3031333333333388,1.5376666666666476,1.138066666666676,0.7470624999999966,0.7904375000000003,0.7121250000000012,0.6888749999999959,-0.05326666666665014,-0.39959999999997153,-0.22643333333331084,0.043375000000003716,-0.023250000000005322,0.010062499999999197
6421150,1.2034374999999908,1.0445625000000014,0.9603750000000009,0.9874375000000075,1.4099375000000016,1.2796249999999993,1.0889375000000001,0.8711249999999957,-0.15887499999998944,0.02706250000000665,-0.0659062499999914,-0.13031250000000227,-0.2178125000000044,-0.17406250000000334
