participant,Unnamed: 0,stim1,prompt1,answer1,trialsthisRepN,trialsthisTrialN,trialsthisIndex,Trials_responsekeys,Trials_responsecorr,Trials_responsert,condition,stimLoc,promptType,leftRight,flipper,newCorrect,Sex,Age,SBSOD_AVERAGE,Friz_Total_Years_Played,Friz_Force_Preference,Friz_Position,Friz_Handedness,Friz_First_is_1
80113241,34,near_left,Left,left,0.0,12.0,10.0,left,1.0,1.5330000000000157,Navigation,Near,Relative,Left,nonflipper,1.0,male,28,1.6,9,,Cutter,Right,2
80113241,35,far_right,Home,right,0.0,13.0,1.0,right,1.0,1.1999999999999886,Navigation,Far,Absolute,Right,nonflipper,1.0,male,28,1.6,9,,Cutter,Right,2
80113241,36,near_right,Home,right,0.0,14.0,3.0,right,1.0,0.8009999999999877,Navigation,Near,Absolute,Right,nonflipper,1.0,male,28,1.6,9,,Cutter,Right,2
80113241,37,far_left,Away,right,0.0,15.0,4.0,right,1.0,2.300000000000012,Navigation,Far,Absolute,Left,nonflipper,1.0,male,28,1.6,9,,Cutter,Right,2
80113241,38,near_right,Left,left,1.0,0.0,11.0,left,1.0,1.4669999999999843,Navigation,Near,Relative,Right,nonflipper,1.0,male,28,1.6,9,,Cutter,Right,2
80113241,39,far_right,Home,right,1.0,1.0,1.0,right,1.0,0.8330000000000268,Navigation,Far,Absolute,Right,nonflipper,1.0,male,28,1.6,9,,Cutter,Right,2
80113241,40,far_left,Home,left,1.0,2.0,0.0,left,1.0,1.0339999999999918,Navigation,Far,Absolute,Left,nonflipper,1.0,male,28,1.6,9,,Cutter,Right,2
80113241,41,far_right,Away,left,1.0,3.0,5.0,left,1.0,1.766999999999996,Navigation,Far,Absolute,Right,nonflipper,1.0,male,28,1.6,9,,Cutter,Right,2
80113241,42,far_left,Away,right,1.0,4.0,4.0,right,1.0,1.183999999999969,Navigation,Far,Absolute,Left,nonflipper,1.0,male,28,1.6,9,,Cutter,Right,2
80113241,44,near_right,Home,right,1.0,6.0,3.0,right,1.0,0.8330000000000268,Navigation,Near,Absolute,Right,nonflipper,1.0,male,28,1.6,9,,Cutter,Right,2
80113241,45,far_left,Left,right,1.0,7.0,8.0,right,1.0,1.4499999999999886,Navigation,Far,Relative,Left,nonflipper,1.0,male,28,1.6,9,,Cutter,Right,2
80113241,46,far_left,Right,left,1.0,8.0,12.0,left,1.0,2.3840000000000146,Navigation,Far,Relative,Left,nonflipper,1.0,male,28,1.6,9,,Cutter,Right,2
80113241,47,near_left,Home,left,1.0,9.0,2.0,left,1.0,1.3169999999999504,Navigation,Near,Absolute,Left,nonflipper,1.0,male,28,1.6,9,,Cutter,Right,2
80113241,48,near_left,Left,left,1.0,10.0,10.0,left,1.0,1.1330000000000382,Navigation,Near,Relative,Left,nonflipper,1.0,male,28,1.6,9,,Cutter,Right,2
80113241,49,near_right,Right,right,1.0,11.0,15.0,right,1.0,1.3999999999999773,Navigation,Near,Relative,Right,nonflipper,1.0,male,28,1.6,9,,Cutter,Right,2
80113241,50,near_left,Right,right,1.0,12.0,14.0,right,1.0,1.516999999999996,Navigation,Near,Relative,Left,nonflipper,1.0,male,28,1.6,9,,Cutter,Right,2
80113241,51,near_left,Away,right,1.0,13.0,6.0,right,1.0,1.4329999999999927,Navigation,Near,Absolute,Left,nonflipper,1.0,male,28,1.6,9,,Cutter,Right,2
80113241,52,far_right,Right,left,1.0,14.0,13.0,left,1.0,1.683999999999969,Navigation,Far,Relative,Right,nonflipper,1.0,male,28,1.6,9,,Cutter,Right,2
80113241,53,near_right,Away,left,1.0,15.0,7.0,left,1.0,1.3670000000000186,Navigation,Near,Absolute,Right,nonflipper,1.0,male,28,1.6,9,,Cutter,Right,2
80113241,57,far_right,Away,left,2.0,3.0,5.0,left,1.0,1.1340000000000146,Navigation,Far,Absolute,Right,nonflipper,1.0,male,28,1.6,9,,Cutter,Right,2
80113241,58,near_left,Right,right,2.0,4.0,14.0,right,1.0,1.8829999999999807,Navigation,Near,Relative,Left,nonflipper,1.0,male,28,1.6,9,,Cutter,Right,2
80113241,59,far_right,Home,right,2.0,5.0,1.0,right,1.0,0.9670000000000414,Navigation,Far,Absolute,Right,nonflipper,1.0,male,28,1.6,9,,Cutter,Right,2
80113241,60,near_right,Right,right,2.0,6.0,15.0,right,1.0,0.91700000000003,Navigation,Near,Relative,Right,nonflipper,1.0,male,28,1.6,9,,Cutter,Right,2
80113241,61,near_right,Left,left,2.0,7.0,11.0,left,1.0,1.25,Navigation,Near,Relative,Right,nonflipper,1.0,male,28,1.6,9,,Cutter,Right,2
80113241,62,near_right,Away,left,2.0,8.0,7.0,left,1.0,1.516999999999996,Navigation,Near,Absolute,Right,nonflipper,1.0,male,28,1.6,9,,Cutter,Right,2
80113241,63,far_left,Home,left,2.0,9.0,0.0,left,1.0,1.0330000000000157,Navigation,Far,Absolute,Left,nonflipper,1.0,male,28,1.6,9,,Cutter,Right,2
80113241,64,near_left,Away,right,2.0,10.0,6.0,right,1.0,1.4499999999999886,Navigation,Near,Absolute,Left,nonflipper,1.0,male,28,1.6,9,,Cutter,Right,2
80113241,68,near_right,Home,right,2.0,14.0,3.0,right,1.0,0.7169999999999845,Navigation,Near,Absolute,Right,nonflipper,1.0,male,28,1.6,9,,Cutter,Right,2
80113241,69,far_left,Away,right,2.0,15.0,4.0,right,1.0,1.33299999999997,Navigation,Far,Absolute,Left,nonflipper,1.0,male,28,1.6,9,,Cutter,Right,2
80113241,70,far_right,Right,left,3.0,0.0,13.0,left,1.0,1.6999999999999886,Navigation,Far,Relative,Right,nonflipper,1.0,male,28,1.6,9,,Cutter,Right,2
80113241,71,near_right,Home,right,3.0,1.0,3.0,right,1.0,1.1000000000000227,Navigation,Near,Absolute,Right,nonflipper,1.0,male,28,1.6,9,,Cutter,Right,2
80113241,72,far_right,Away,left,3.0,2.0,5.0,left,1.0,1.0669999999999504,Navigation,Far,Absolute,Right,nonflipper,1.0,male,28,1.6,9,,Cutter,Right,2
80113241,73,near_left,Away,right,3.0,3.0,6.0,right,1.0,1.1000000000000227,Navigation,Near,Absolute,Left,nonflipper,1.0,male,28,1.6,9,,Cutter,Right,2
80113241,74,near_right,Left,left,3.0,4.0,11.0,left,1.0,1.0989999999999895,Navigation,Near,Relative,Right,nonflipper,1.0,male,28,1.6,9,,Cutter,Right,2
80113241,76,near_left,Left,left,3.0,6.0,10.0,left,1.0,1.5159999999999627,Navigation,Near,Relative,Left,nonflipper,1.0,male,28,1.6,9,,Cutter,Right,2
80113241,77,near_right,Away,left,3.0,7.0,7.0,left,1.0,0.8500000000000227,Navigation,Near,Absolute,Right,nonflipper,1.0,male,28,1.6,9,,Cutter,Right,2
80113241,78,far_left,Left,right,3.0,8.0,8.0,right,1.0,1.7329999999999472,Navigation,Far,Relative,Left,nonflipper,1.0,male,28,1.6,9,,Cutter,Right,2
80113241,79,near_left,Right,right,3.0,9.0,14.0,right,1.0,1.5,Navigation,Near,Relative,Left,nonflipper,1.0,male,28,1.6,9,,Cutter,Right,2
80113241,80,far_left,Right,left,3.0,10.0,12.0,left,1.0,1.6340000000000146,Navigation,Far,Relative,Left,nonflipper,1.0,male,28,1.6,9,,Cutter,Right,2
80113241,81,near_right,Right,right,3.0,11.0,15.0,right,1.0,1.0,Navigation,Near,Relative,Right,nonflipper,1.0,male,28,1.6,9,,Cutter,Right,2
80113241,82,far_left,Away,right,3.0,12.0,4.0,right,1.0,1.1329999999999243,Navigation,Far,Absolute,Left,nonflipper,1.0,male,28,1.6,9,,Cutter,Right,2
80113241,83,far_left,Home,left,3.0,13.0,0.0,left,1.0,2.133000000000038,Navigation,Far,Absolute,Left,nonflipper,1.0,male,28,1.6,9,,Cutter,Right,2
80113241,84,far_right,Home,right,3.0,14.0,1.0,right,1.0,0.7169999999999845,Navigation,Far,Absolute,Right,nonflipper,1.0,male,28,1.6,9,,Cutter,Right,2
80113241,85,near_left,Home,left,3.0,15.0,2.0,left,1.0,0.7169999999999845,Navigation,Near,Absolute,Left,nonflipper,1.0,male,28,1.6,9,,Cutter,Right,2
81058337,22,near_left,Home,left,0.0,0.0,6.0,left,1.0,0.7510000000000048,Frisbee,Near,Absolute,Left,nonflipper,1.0,male,29,2.8666666666666667,13,,Handler,Right,2
81058337,23,far_right,Away,left,0.0,1.0,13.0,left,1.0,0.6350000000000051,Frisbee,Far,Absolute,Right,nonflipper,1.0,male,29,2.8666666666666667,13,,Handler,Right,2
81058337,24,near_right,Away,left,0.0,2.0,15.0,left,1.0,0.8170000000000073,Frisbee,Near,Absolute,Right,nonflipper,1.0,male,29,2.8666666666666667,13,,Handler,Right,2
81058337,25,far_right,Right,right,0.0,3.0,9.0,right,1.0,0.5679999999999978,Frisbee,Far,Relative,Right,nonflipper,1.0,male,29,2.8666666666666667,13,,Handler,Right,2
81058337,26,far_left,Right,left,0.0,4.0,8.0,left,1.0,0.6349999999999909,Frisbee,Far,Relative,Left,nonflipper,1.0,male,29,2.8666666666666667,13,,Handler,Right,2
81058337,27,far_right,Left,left,0.0,5.0,1.0,left,1.0,0.532999999999987,Frisbee,Far,Relative,Right,nonflipper,1.0,male,29,2.8666666666666667,13,,Handler,Right,2
81058337,28,near_left,Away,right,0.0,6.0,14.0,right,1.0,0.6850000000000023,Frisbee,Near,Absolute,Left,nonflipper,1.0,male,29,2.8666666666666667,13,,Handler,Right,2
81058337,29,near_right,Home,left,0.0,7.0,7.0,left,1.0,0.5999999999999943,Frisbee,Near,Absolute,Right,nonflipper,1.0,male,29,2.8666666666666667,13,,Handler,Right,2
81058337,30,near_right,Right,right,0.0,8.0,11.0,right,1.0,0.5670000000000073,Frisbee,Near,Relative,Right,nonflipper,1.0,male,29,2.8666666666666667,13,,Handler,Right,2
81058337,31,near_right,Left,right,0.0,9.0,3.0,right,1.0,0.44999999999998863,Frisbee,Near,Relative,Right,nonflipper,1.0,male,29,2.8666666666666667,13,,Handler,Right,2
81058337,32,far_left,Home,right,0.0,10.0,4.0,right,1.0,0.5,Frisbee,Far,Absolute,Left,nonflipper,1.0,male,29,2.8666666666666667,13,,Handler,Right,2
81058337,33,near_left,Left,right,0.0,11.0,2.0,right,1.0,0.6009999999999991,Frisbee,Near,Relative,Left,nonflipper,1.0,male,29,2.8666666666666667,13,,Handler,Right,2
81058337,34,far_left,Away,right,0.0,12.0,12.0,right,1.0,0.6500000000000057,Frisbee,Far,Absolute,Left,nonflipper,1.0,male,29,2.8666666666666667,13,,Handler,Right,2
81058337,35,far_left,Left,left,0.0,13.0,0.0,left,1.0,0.4179999999999779,Frisbee,Far,Relative,Left,nonflipper,1.0,male,29,2.8666666666666667,13,,Handler,Right,2
